ID,Time_taken (min)
0x2318,28.53054166666665
0x3474,30.415916666666654
0x9420,30.151388888888924
0x72ee,31.645263888888913
0xa759,22.300902777777754
0xc4af,19.883986111111078
0x3b9d,13.418569444444435
0xdd42,22.31658333333334
0x872b,40.169541666666646
0x6001,25.05558333333334
0xd845,23.384375
0x4946,15.621930555555561
0x4598,16.716236111111137
0xbd51,20.243416666666665
0x73ec,29.533500000000004
0x5ca7,29.737625000000012
0x9fa6,33.3842361111111
0x914e,22.56841666666668
0x36e5,17.75033333333336
0xd82e,22.543041666666692
0x1df3,36.660652777777784
0xa65,29.099638888888883
0x8b83,23.135138888888903
0x5b95,27.214555555555517
0xaa43,27.394138888888907
0x9995,26.14615277777779
0x1018,34.692819444444446
0x4af3,19.98912499999999
0x87a1,20.237208333333335
0xb64c,14.068930555555571
0x4b7e,15.11520833333333
0x252d,23.266541666666658
0x368e,18.206388888888895
0xe09,18.295138888888893
0x39aa,27.883444444444436
0xb542,34.447069444444416
0x7604,17.22729166666668
0x597c,42.11001388888887
0x184f,15.087097222222228
0x9442,24.34861111111109
0x84e,22.26254166666665
0xa6ba,30.181541666666664
0xb66b,18.687333333333324
0x9bb,22.47009722222221
0x8d9a,20.99951388888887
0x869f,38.118819444444426
0xc587,42.916333333333334
0x3167,22.259708333333318
0x4981,24.365847222222218
0x4c83,22.004444444444445
0x2493,15.416736111111113
0x21a5,19.81887500000001
0x5571,13.410416666666658
0x45b1,35.80974999999998
0xb1f0,24.977375000000006
0x75d9,24.572125000000014
0x46dd,29.112222222222226
0xc002,25.4175416666667
0x95e5,28.66666666666666
0x1c1f,20.015458333333356
0x45bd,17.63768055555557
0xb986,25.22130555555553
0x1761,44.513458333333354
0xb84c,26.941555555555563
0x69c3,34.22343055555555
0xd68c,42.66822222222223
0xd05f,47.14844444444444
0xb5f0,23.92272222222222
0x69a8,28.642625000000013
0xc9c5,35.33227777777775
0x478e,23.658722222222217
0x12dd,25.378972222222234
0x78e3,17.278374999999993
0x1661,24.658499999999986
0xcb17,18.06019444444445
0xdff4,22.025430555555566
0x75c3,20.630930555555576
